"Hverfi";"Ár";"Fjöldi í úrtaki";"Meðalflatarmál";"Meðalkaupverð (þús. kr.)";"Meðalstaðgreiðsluverð (þús. kr.)";"Meðalkaup.verð pr.ferm (kr./m²)";"Meðalstaðgr.verð pr. ferm (kr./m²)"
"Innan Hringbrautar og Snorrabrautar, Reykjavík";1990;188;82;4806;4281;60316;53598
"Innan Hringbrautar og Snorrabrautar, Reykjavík";1991;190;82;5348;4627;68976;59610
"Innan Hringbrautar og Snorrabrautar, Reykjavík";1992;295;80;5784;5192;75742;67907
"Innan Hringbrautar og Snorrabrautar, Reykjavík";1993;312;79;5672;5157;75319;68339
"Innan Hringbrautar og Snorrabrautar, Reykjavík";1994;384;83;6032;5751;76209;72610
"Innan Hringbrautar og Snorrabrautar, Reykjavík";1995;384;82;5918;5499;75074;69878
"Innan Hringbrautar og Snorrabrautar, Reykjavík";1996;499;80;5832;5450;76719;71728
"Innan Hringbrautar og Snorrabrautar, Reykjavík";1997;553;85;6473;6105;79021;74538
"Innan Hringbrautar og Snorrabrautar, Reykjavík";1998;532;84;6732;6575;82986;81089
"Innan Hringbrautar og Snorrabrautar, Reykjavík";1999;700;85;7814;7790;96319;96126
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2000;599;83;9218;8768;116038;110234
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2001;515;82;9935;9279;124160;115929
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2002;585;84;10889;10212;134949;126419
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2003;673;86;12054;11863;144400;142374
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2004;715;83;13271;13201;163883;163234
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2005;673;83;17837;17725;219187;217952
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2006;473;81;20872;20523;255922;252077
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2007;623;81;23810;23288;294301;288424
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2008;218;81;25129;24380;310503;302248
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2009;119;87;24192;23403;279095;270012
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2010;169;86;22255;21853;261996;256785
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2011;279;89;23174;22811;266639;262253
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2012;398;89;27777;27308;310204;304861
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2013;397;86;29743;29327;340347;335663
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2014;417;88;34121;33574;384109;378999
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2015;495;89;37986;37520;428883;424535
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2016;393;87;40438;40154;472541;470033
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2017;396;86;45332;44973;534747;531377
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2018;428;83;44688;44332;552229;548879
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2019;433;86;48459;48031;575255;571692
"Innan Hringbrautar og Snorrabrautar, Reykjavík";2020;566;86;50626;50210;605641;601434
"Melar og Hagar, Reykjavík";1990;90;92;6142;5539;68581;61580
"Melar og Hagar, Reykjavík";1991;80;96;7146;6192;76317;65958
"Melar og Hagar, Reykjavík";1992;100;92;7024;6377;78504;71292
"Melar og Hagar, Reykjavík";1993;85;99;7459;6763;79531;71896
"Melar og Hagar, Reykjavík";1994;132;97;7257;6894;77465;73808
"Melar og Hagar, Reykjavík";1995;115;97;7326;6817;76669;71413
"Melar og Hagar, Reykjavík";1996;150;92;7130;6677;79950;74906
"Melar og Hagar, Reykjavík";1997;136;91;7263;6820;82317;77237
"Melar og Hagar, Reykjavík";1998;134;95;7782;7588;84749;82683
"Melar og Hagar, Reykjavík";1999;152;95;8932;8876;96645;96114
"Melar og Hagar, Reykjavík";2000;126;92;10508;9949;116850;110528
"Melar og Hagar, Reykjavík";2001;147;95;11835;11060;128092;119464
"Melar og Hagar, Reykjavík";2002;145;97;12538;11714;131528;122575
"Melar og Hagar, Reykjavík";2003;137;96;13197;12955;140494;138057
"Melar og Hagar, Reykjavík";2004;172;97;15229;15126;160934;160068
"Melar og Hagar, Reykjavík";2005;157;93;19023;18909;209270;208241
"Melar og Hagar, Reykjavík";2006;124;99;23436;23071;239457;235873
"Melar og Hagar, Reykjavík";2007;119;94;25739;25197;275600;270349
"Melar og Hagar, Reykjavík";2008;65;97;28005;27054;289602;280519
"Melar og Hagar, Reykjavík";2009;34;104;28131;27050;274507;264507
"Melar og Hagar, Reykjavík";2010;51;101;24067;23537;242590;236677
"Melar og Hagar, Reykjavík";2011;94;98;25949;25572;269242;265159
"Melar og Hagar, Reykjavík";2012;99;103;29078;28783;283757;280623
"Melar og Hagar, Reykjavík";2013;109;108;33160;32738;314822;310775
"Melar og Hagar, Reykjavík";2014;92;101;34289;33909;351033;347618
"Melar og Hagar, Reykjavík";2015;107;99;35848;35583;382777;380566
"Melar og Hagar, Reykjavík";2016;108;109;45214;44806;428447;424869
"Melar og Hagar, Reykjavík";2017;109;104;50167;49893;492866;490442
"Melar og Hagar, Reykjavík";2018;115;100;50274;49919;508767;505900
"Melar og Hagar, Reykjavík";2019;92;104;52621;52354;513583;511459
"Melar og Hagar, Reykjavík";2020;116;102;55037;54724;545289;542438
"Grandar, Reykjavík";1990;66;80;6103;5312;78973;68319
"Grandar, Reykjavík";1991;68;84;6752;5821;83634;72183
"Grandar, Reykjavík";1992;61;77;6745;5995;92207;81756
"Grandar, Reykjavík";1993;42;77;6599;6008;89523;81132
"Grandar, Reykjavík";1994;63;101;7424;6969;88106;82930
"Grandar, Reykjavík";1995;82;83;6944;6341;87267;79999
"Grandar, Reykjavík";1996;80;79;6532;6038;85616;79218
"Grandar, Reykjavík";1997;80;84;7058;6591;87316;81507
"Grandar, Reykjavík";1998;107;82;7003;6787;89617;86836
"Grandar, Reykjavík";1999;93;84;8171;8120;101177;100560
"Grandar, Reykjavík";2000;95;92;10084;9555;115124;109198
"Grandar, Reykjavík";2001;83;90;11031;10282;128169;119401
"Grandar, Reykjavík";2002;92;89;11059;10279;129275;120146
"Grandar, Reykjavík";2003;104;89;11911;11709;139838;137490
"Grandar, Reykjavík";2004;117;93;13301;13227;150684;149940
"Grandar, Reykjavík";2005;93;90;17318;17232;200207;199418
"Grandar, Reykjavík";2006;80;87;18704;18454;223128;220433
"Grandar, Reykjavík";2007;113;94;22846;22410;249872;245316
"Grandar, Reykjavík";2008;33;89;22318;21622;263331;255284
"Grandar, Reykjavík";2009;19;81;19421;18635;251311;241278
"Grandar, Reykjavík";2010;37;93;19746;19331;223064;219037
"Grandar, Reykjavík";2011;61;85;20697;20201;253427;247620
"Grandar, Reykjavík";2012;69;92;23305;22879;262321;257831
"Grandar, Reykjavík";2013;77;89;25121;24732;294789;290261
"Grandar, Reykjavík";2014;59;90;28654;28247;330475;326004
"Grandar, Reykjavík";2015;67;89;30539;30277;359190;356450
"Grandar, Reykjavík";2016;81;88;34149;33988;413811;412042
"Grandar, Reykjavík";2017;66;91;39551;39388;452484;450707
"Grandar, Reykjavík";2018;69;90;41537;41211;479739;476538
"Grandar, Reykjavík";2019;70;90;42947;42709;501108;498410
"Grandar, Reykjavík";2020;87;91;43055;42762;489390;486435
"Hlíðar, Reykjavík";1994;82;102;7409;7040;75750;72189
"Hlíðar, Reykjavík";1995;68;98;7243;6718;75732;70170
"Hlíðar, Reykjavík";1996;149;100;7186;6680;74428;69119
"Hlíðar, Reykjavík";1997;136;97;7187;6780;76638;72426
"Hlíðar, Reykjavík";1998;170;94;7209;7011;81260;79070
"Hlíðar, Reykjavík";1999;188;94;8432;8388;92932;92543
"Hlíðar, Reykjavík";2000;137;95;10388;9790;111346;104732
"Hlíðar, Reykjavík";2001;142;90;10745;9965;124474;115499
"Hlíðar, Reykjavík";2002;144;97;11799;10974;125686;116808
"Hlíðar, Reykjavík";2003;150;110;14125;13894;139481;137362
"Hlíðar, Reykjavík";2004;210;99;15303;15197;157929;157084
"Hlíðar, Reykjavík";2005;163;94;18963;18827;206009;204735
"Hlíðar, Reykjavík";2006;145;95;20632;20263;222197;218542
"Hlíðar, Reykjavík";2007;154;99;24585;24090;255665;250737
"Hlíðar, Reykjavík";2008;63;94;24925;24124;273102;264286
"Hlíðar, Reykjavík";2009;36;106;25306;24208;241825;231545
"Hlíðar, Reykjavík";2010;64;101;22230;21634;229137;222736
"Hlíðar, Reykjavík";2011;97;96;22468;21953;241826;236408
"Hlíðar, Reykjavík";2012;110;101;25592;25256;262993;259261
"Hlíðar, Reykjavík";2013;116;98;27918;27437;291656;287013
"Hlíðar, Reykjavík";2014;123;102;30891;30548;315868;312436
"Hlíðar, Reykjavík";2015;132;103;34957;34726;347816;345804
"Hlíðar, Reykjavík";2016;138;97;37591;37392;400615;398511
"Hlíðar, Reykjavík";2017;132;97;43262;43121;463793;462348
"Hlíðar, Reykjavík";2018;114;97;44490;44248;474804;472406
"Hlíðar, Reykjavík";2019;102;102;47313;47078;482336;480083
"Hlíðar, Reykjavík";2020;153;100;49578;49421;512836;511297
"Háaleitisbraut, Reykjavík";1994;16;102;7137;6695;71207;66878
"Háaleitisbraut, Reykjavík";1995;48;105;7114;6632;71106;66538
"Háaleitisbraut, Reykjavík";1996;41;107;7174;6625;68872;63762
"Háaleitisbraut, Reykjavík";1997;44;99;6858;6347;71550;66313
"Háaleitisbraut, Reykjavík";1998;41;97;7168;6945;76494;74143
"Háaleitisbraut, Reykjavík";1999;51;102;8645;8606;88404;87983
"Háaleitisbraut, Reykjavík";2000;30;96;10130;9537;107656;101380
"Háaleitisbraut, Reykjavík";2001;38;109;11509;10656;108050;100060
"Háaleitisbraut, Reykjavík";2002;40;98;11114;10358;117423;109812
"Háaleitisbraut, Reykjavík";2003;39;109;12273;12058;117605;115687
"Háaleitisbraut, Reykjavík";2004;47;102;13677;13613;139014;138506
"Háaleitisbraut, Reykjavík";2005;36;102;17608;17509;177895;176991
"Háaleitisbraut, Reykjavík";2006;31;101;19456;19253;199320;197220
"Háaleitisbraut, Reykjavík";2007;43;110;22834;22435;214754;211331
"Háaleitisbraut, Reykjavík";2008;15;95;21703;21122;240137;233373
"Háaleitisbraut, Reykjavík";2009;5;120;23380;22614;204771;195338
"Háaleitisbraut, Reykjavík";2010;15;113;21753;21170;193887;189369
"Háaleitisbraut, Reykjavík";2011;22;106;20918;20819;205683;204822
"Háaleitisbraut, Reykjavík";2012;12;98;22402;22137;238926;235473
"Háaleitisbraut, Reykjavík";2013;33;106;25054;24668;246496;242823
"Háaleitisbraut, Reykjavík";2014;29;105;27850;27657;274462;272666
"Háaleitisbraut, Reykjavík";2015;29;107;30227;30070;289693;288128
"Háaleitisbraut, Reykjavík";2016;38;112;33911;33690;319606;317635
"Háaleitisbraut, Reykjavík";2017;30;111;41057;40962;392031;391252
"Háaleitisbraut, Reykjavík";2018;27;110;43002;42836;405419;403949
"Háaleitisbraut, Reykjavík";2019;29;102;41486;41378;432058;431145
"Háaleitisbraut, Reykjavík";2020;39;109;44354;44062;421822;419379
"Lönd, Reykjavík";1990;34;89;6666;6066;77425;70238
"Lönd, Reykjavík";1991;45;83;6986;6192;86807;76730
"Lönd, Reykjavík";1992;31;89;7876;7066;90683;81330
"Lönd, Reykjavík";1993;31;84;7366;6690;90082;81483
"Lönd, Reykjavík";1994;48;97;7886;7431;86787;81859
"Lönd, Reykjavík";1995;40;86;7062;6556;84544;78748
"Lönd, Reykjavík";1996;37;91;7588;7055;86153;80259
